top - 16:48:38 up 2 days,  2:01,  0 users,  load average: 0,38, 0,55, 0,50
Tasks: 274 total,   3 running, 271 sleeping,   0 stopped,   0 zombie
%Cpu(s): 37,9 us,  7,6 sy,  0,0 ni, 54,5 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   7782,7 total,    306,5 free,   2382,3 used,   5093,8 buff/cache
MiB Swap:   2048,0 total,   2047,7 free,      0,2 used.   4954,4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  33341 dead_sp+  20   0 4079148 106972  68076 S  93,8   1,3   0:02.49 vsdbg-ui
  27875 dead_sp+  20   0 4930576 171724 118488 S   0,0   2,2   0:22.42 code
  27877 dead_sp+  20   0  373064  51268  43704 S   0,0   0,6   0:00.03 code
  27878 dead_sp+  20   0  373064  50912  43376 S   0,0   0,6   0:00.02 code
  27914 dead_sp+  20   0  439296  78536  68728 S   0,0   1,0   0:00.35 code
  27960 dead_sp+  20   0   36,5g 131056  93600 S   0,0   1,6   0:15.45 code
  27977 dead_sp+  20   0 4763280  82360  64128 S   0,0   1,0   0:03.44 code
  28804 root      20   0       0      0      0 I   0,0   0,0   0:00.06 kworker+
  29010 root      20   0       0      0      0 I   0,0   0,0   0:00.17 kworker+
  30591 root      20   0       0      0      0 I   0,0   0,0   0:00.34 kworker+
  30778 dead_sp+  20   0  554216  45068  36124 S   0,0   0,6   0:00.95 gnome-t+
  30786 dead_sp+  20   0   21776   4976   3548 S   0,0   0,1   0:00.03 bash
  30893 root      20   0       0      0      0 I   0,0   0,0   0:00.01 kworker+
  31044 root      20   0       0      0      0 I   0,0   0,0   0:01.40 kworker+
  31045 root      20   0       0      0      0 I   0,0   0,0   0:01.44 kworker+
  31112 dead_sp+  20   0 4672100 143952  72996 S   0,0   1,8   0:12.49 code
  31124 dead_sp+  20   0 4635100  83172  63452 S   0,0   1,0   0:01.56 code
